n,p,lambda,rho,S
100000,5e-05,1.06,4,0.99999
100000,5e-05,1.04,4,0.99999
100000,5e-05,1.01,4,0.99999
100000,5e-05,1.07,4,0.99999
100000,5e-05,1.06,4,0.99999
100000,5e-05,1.01,4,0.99532
100000,5e-05,1.07,4,0.99998
100000,5e-05,1.09,4,0.99976
100000,5e-05,1.02,4,0.99999
100000,5e-05,1.09,4,0.99998
100000,5e-05,1.01,4,0.99997
100000,5e-05,1.01,4,0.99999
100000,5e-05,1.04,4,0.99999
100000,5e-05,1.04,4,0.99989
100000,5e-05,1.0,4,0.99999
100000,5e-05,1.02,4,0.99991
100000,5e-05,1.05,4,0.99974
100000,5e-05,1.02,4,0.99998
100000,5e-05,1.01,4,0.99999
100000,5e-05,0.8,4,0.99999
100000,5e-05,8.2,4,0.00431
100000,5e-05,5.5,4,0.00383
100000,5e-05,6.9,4,0.00441
100000,5e-05,9.8,4,0.00454
100000,5e-05,6.8,4,0.00391
100000,5e-05,4.0,4,0.00314
100000,5e-05,10.0,4,0.00472
100000,5e-05,5.0,4,0.00339
100000,5e-05,8.3,4,0.00436
100000,5e-05,7.9,4,0.00438
100000,5e-05,9.7,4,0.00468
100000,5e-05,7.9,4,0.00414
100000,5e-05,4.6,4,0.99999
100000,5e-05,9.2,4,0.00475
100000,5e-05,2.7,4,0.00418
100000,5e-05,8.5,4,0.00462
100000,5e-05,0.7,4,0.99998
100000,5e-05,6.6,4,0.00387
100000,5e-05,5.5,4,0.00373
100000,5e-05,9.1,4,0.00438
100000,5e-05,3.5,4,0.99997
100000,5e-05,3.3,4,0.99999
100000,5e-05,9.3,4,0.00455
100000,5e-05,5.7,4,0.00361
100000,5e-05,9.4,4,0.00471
100000,5e-05,7.2,4,0.00434
100000,5e-05,8.0,4,0.00403
100000,5e-05,0.6,4,0.99998
100000,5e-05,2.4,4,0.0051
100000,5e-05,9.5,4,0.005
100000,5e-05,4.9,4,0.00356
100000,5e-05,1.4,4,0.99999
100000,5e-05,9.8,4,0.00473
100000,5e-05,8.2,4,0.00439
100000,5e-05,5.0,4,0.0037
100000,5e-05,9.8,4,0.00441
100000,5e-05,2.8,4,0.00371
100000,5e-05,7.4,4,0.99999
100000,5e-05,5.5,4,0.00384
100000,5e-05,9.5,4,0.00468
100000,5e-05,5.2,4,0.00358
100000,5e-05,8.1,4,0.00447
100000,5e-05,3.4,4,0.0031
100000,5e-05,1.6,4,0.0147
100000,5e-05,8.4,4,0.0043
100000,5e-05,5.1,4,0.00336
100000,5e-05,5.2,4,0.99998
100000,5e-05,7.3,4,0.00417
100000,5e-05,8.4,4,0.00412
100000,5e-05,3.1,4,0.00372
100000,5e-05,8.8,4,0.00461
100000,5e-05,1.7,4,0.99997
100000,5e-05,9.1,4,0.00456
100000,5e-05,0.8,4,0.99998
100000,5e-05,1.1,4,0.99999
100000,5e-05,0.1,4,0.99999
100000,5e-05,9.3,4,0.99999
100000,5e-05,4.2,4,0.00272
100000,5e-05,5.1,4,0.00343
100000,5e-05,3.8,4,0.00306
100000,5e-05,5.3,4,0.00341
100000,5e-05,6.3,4,0.00399
100000,5e-05,3.5,4,0.00347
100000,5e-05,2.6,4,0.00424
100000,5e-05,4.7,4,0.00352
100000,5e-05,4.9,4,0.0034
100000,5e-05,4.8,4,0.00355
100000,5e-05,7.3,4,0.00422
100000,5e-05,9.1,4,0.00425
100000,5e-05,9.8,4,0.00497
100000,5e-05,7.5,4,0.00454
100000,5e-05,5.1,4,0.00341
100000,5e-05,7.0,4,0.00445
100000,5e-05,2.7,4,0.00392
100000,5e-05,4.2,4,0.00311
100000,5e-05,7.4,4,0.00391
100000,5e-05,8.4,4,0.00455
100000,5e-05,1.4,4,0.99998
100000,5e-05,7.6,4,0.00402
100000,5e-05,3.5,4,0.00318
100000,5e-05,2.7,4,0.00391
100000,5e-05,9.0,4,0.0044
100000,5e-05,2.5,4,0.00494
100000,5e-05,1.7,4,0.01175
100000,5e-05,5.7,4,0.00386
100000,5e-05,2.9,4,0.00383
100000,5e-05,2.7,4,0.00395
100000,5e-05,3.4,4,0.00389
100000,5e-05,6.3,4,0.00376
100000,5e-05,3.1,4,0.99999
100000,5e-05,8.7,4,0.00464
100000,5e-05,7.7,4,0.00419
100000,5e-05,7.8,4,0.0042
100000,5e-05,8.6,4,0.99999
100000,5e-05,7.6,4,0.00402
100000,5e-05,0.3,4,0.99999
100000,5e-05,6.0,4,0.00341
100000,5e-05,3.3,4,0.00345
100000,5e-05,3.4,4,0.00314
100000,5e-05,4.7,4,0.00356
100000,5e-05,0.4,4,0.99999
100000,5e-05,0.8,4,0.9999
100000,5e-05,2.0,4,0.99996
100000,5e-05,8.7,4,0.00413
100000,5e-05,3.3,4,0.00331
100000,5e-05,8.5,4,0.0046
100000,5e-05,8.5,4,0.00418
100000,5e-05,2.9,4,0.00404
100000,5e-05,7.5,4,0.00404
100000,5e-05,7.2,4,0.00384
100000,5e-05,8.4,4,0.0045
100000,5e-05,5.5,4,0.00326
100000,5e-05,3.9,4,0.00348
100000,5e-05,9.0,4,0.0044
100000,5e-05,8.7,4,0.00432
100000,5e-05,4.7,4,0.00358
100000,5e-05,9.6,4,0.00451
100000,5e-05,8.7,4,0.00437
100000,5e-05,2.0,4,0.99998
100000,5e-05,0.6,4,0.99999
100000,5e-05,4.8,4,0.00338
100000,5e-05,3.1,4,0.00351
100000,5e-05,3.9,4,0.00348
100000,5e-05,4.3,4,0.00311
100000,5e-05,7.7,4,0.00417
100000,5e-05,2.7,4,0.99999
100000,5e-05,9.5,4,0.00457
100000,5e-05,1.7,4,0.01201
100000,5e-05,9.6,4,0.99997
100000,5e-05,2.2,4,0.00527
100000,5e-05,2.5,4,0.0044
100000,5e-05,9.1,4,0.00469
100000,5e-05,0.4,4,0.99999
100000,5e-05,7.8,4,0.00391
100000,5e-05,0.0,4,0.99999
100000,5e-05,0.5,4,0.99995
100000,5e-05,8.2,4,0.00485
100000,5e-05,5.5,4,0.0034
100000,5e-05,0.5,4,0.99998
100000,5e-05,8.0,4,0.00435
100000,5e-05,5.8,4,0.00351
100000,5e-05,3.9,4,0.00322
100000,5e-05,4.3,4,0.0032
100000,5e-05,8.1,4,0.00428
100000,5e-05,4.5,4,0.00341
100000,5e-05,9.0,4,0.00426
100000,5e-05,3.2,4,0.00362
100000,5e-05,3.6,4,0.00309
100000,5e-05,5.9,4,0.00348
100000,5e-05,9.5,4,0.00446
100000,5e-05,9.5,4,0.00509
100000,5e-05,7.0,4,0.00411
100000,5e-05,9.8,4,0.00472
100000,5e-05,5.9,4,0.00349
100000,5e-05,0.7,4,0.99999
100000,5e-05,4.6,4,0.00328
100000,5e-05,4.6,4,0.00313
100000,5e-05,6.2,4,0.00388
100000,5e-05,7.8,4,0.00455
100000,5e-05,8.0,4,0.00454
100000,5e-05,5.9,4,0.00375
100000,5e-05,0.4,4,0.99999
100000,5e-05,9.5,4,0.00418
100000,5e-05,1.7,4,0.99998
100000,5e-05,3.9,4,0.00297
100000,5e-05,4.2,4,0.00353
100000,5e-05,5.6,4,0.00368
100000,5e-05,1.5,4,0.99999
100000,5e-05,8.6,4,0.00415
100000,5e-05,5.7,4,0.00384
100000,5e-05,5.3,4,0.00362
100000,5e-05,9.1,4,0.0044
100000,5e-05,2.7,4,0.99999
100000,5e-05,1.9,4,0.00806
100000,5e-05,7.4,4,0.00429
100000,5e-05,2.8,4,0.99997
100000,5e-05,9.7,4,0.00471
100000,5e-05,2.9,4,0.99999
100000,5e-05,2.4,4,0.00475
100000,5e-05,6.6,4,0.00403
100000,5e-05,8.0,4,0.00453
100000,5e-05,4.0,4,0.00325
100000,5e-05,3.4,4,0.00326
100000,5e-05,1.9,4,0.00837
100000,5e-05,1.0,4,0.99988
100000,5e-05,5.9,4,0.00396
100000,5e-05,2.5,4,0.00465
100000,5e-05,2.8,4,0.00396
100000,5e-05,2.2,4,0.00619
100000,5e-05,2.8,4,0.00376
100000,5e-05,4.3,4,0.00325
100000,5e-05,5.2,4,0.00351
100000,5e-05,1.1,4,0.99999
100000,5e-05,0.8,4,0.99989
100000,5e-05,6.0,4,0.00378
100000,5e-05,2.9,4,0.00336
100000,5e-05,2.9,4,0.00336
100000,5e-05,7.1,4,0.00424
100000,5e-05,8.4,4,0.00462
100000,5e-05,0.0,4,0.99999
100000,5e-05,7.0,4,0.00399
100000,5e-05,2.6,4,0.00429
100000,5e-05,3.0,4,0.0035
100000,5e-05,8.4,4,0.00465
100000,5e-05,3.3,4,0.99999
100000,5e-05,2.8,4,0.00386
100000,5e-05,0.2,4,0.99999
100000,5e-05,7.2,4,0.00421
100000,5e-05,1.4,4,0.99994
100000,5e-05,8.9,4,0.00503
100000,5e-05,6.6,4,0.00371
100000,5e-05,4.6,4,0.00316
100000,5e-05,9.0,4,0.00438
100000,5e-05,9.5,4,0.00458
100000,5e-05,0.2,4,0.99999
100000,5e-05,4.4,4,0.0033
100000,5e-05,7.9,4,0.00452
100000,5e-05,0.5,4,0.99999
100000,5e-05,8.3,4,0.00409
100000,5e-05,8.6,4,0.00396
100000,5e-05,1.2,4,0.99999
100000,5e-05,8.5,4,0.00458
100000,5e-05,6.9,4,0.00405
100000,5e-05,8.7,4,0.00457
100000,5e-05,0.1,4,0.99999
100000,5e-05,4.6,4,0.00315
100000,5e-05,6.1,4,0.00345
100000,5e-05,4.7,4,0.00338
100000,5e-05,3.8,4,0.00341
100000,5e-05,7.3,4,0.00412
100000,5e-05,9.6,4,0.00468
100000,5e-05,2.3,4,0.00508
100000,5e-05,8.4,4,0.0044
100000,5e-05,2.6,4,0.00439
100000,5e-05,0.0,4,0.99999
100000,5e-05,9.1,4,0.00457
100000,5e-05,0.7,4,0.99999
100000,5e-05,0.3,4,0.99999
100000,5e-05,5.6,4,0.00361
100000,5e-05,6.4,4,0.00369
100000,5e-05,3.9,4,0.00344
100000,5e-05,7.1,4,0.00426
100000,5e-05,1.5,4,0.01876
100000,5e-05,7.6,4,0.0041
100000,5e-05,2.9,4,0.00399
100000,5e-05,8.5,4,0.00435
100000,5e-05,9.8,4,0.00476
100000,5e-05,4.1,4,0.00327
100000,5e-05,7.8,4,0.00395
100000,5e-05,3.1,4,0.00358
100000,5e-05,3.0,4,0.00345
100000,5e-05,7.1,4,0.00388
100000,5e-05,1.4,4,0.99999
100000,5e-05,0.7,4,0.99998
100000,5e-05,3.5,4,0.00343
100000,5e-05,9.7,4,0.00465
100000,5e-05,7.7,4,0.00392
100000,5e-05,5.5,4,0.00369
100000,5e-05,3.1,4,0.00334
100000,5e-05,2.4,4,0.99994
100000,5e-05,7.3,4,0.00389
100000,5e-05,2.7,4,0.00422
100000,5e-05,9.6,4,0.00518
100000,5e-05,9.5,4,0.00466
100000,5e-05,9.3,4,0.00451
100000,5e-05,3.3,4,0.00354
100000,5e-05,9.1,4,0.00425
100000,5e-05,5.7,4,0.99999
100000,5e-05,5.5,4,0.99998
100000,5e-05,6.0,4,0.00379
100000,5e-05,0.7,4,0.99999
100000,5e-05,6.6,4,0.00374
100000,5e-05,2.2,4,0.99999
100000,5e-05,4.4,4,0.00344
100000,5e-05,4.4,4,0.00334
100000,5e-05,7.8,4,0.00455
100000,5e-05,0.9,4,0.99996
100000,5e-05,8.0,4,0.00422
100000,5e-05,8.4,4,0.00497
100000,5e-05,2.5,4,0.00438
100000,5e-05,4.4,4,0.00309
100000,5e-05,5.3,4,0.99999
100000,5e-05,8.8,4,0.00467
100000,5e-05,9.5,4,0.00457
100000,5e-05,0.7,4,0.99999
100000,5e-05,4.4,4,0.00323
100000,5e-05,9.8,4,0.00496
100000,5e-05,4.5,4,0.00297
100000,5e-05,4.2,4,0.00307
100000,5e-05,7.1,4,0.00406
100000,5e-05,1.9,4,0.00837
100000,5e-05,2.6,4,0.00367
100000,5e-05,9.5,4,0.00485
100000,5e-05,7.0,4,0.00398
100000,5e-05,6.1,4,0.00368
100000,5e-05,1.4,4,0.99999
100000,5e-05,4.6,4,0.00336
100000,5e-05,7.4,4,0.00432
100000,5e-05,9.2,4,0.00515
100000,5e-05,4.2,4,0.00326
100000,5e-05,1.1,4,0.99948
100000,5e-05,10.0,4,0.00462
100000,5e-05,5.1,4,0.00366
100000,5e-05,8.2,4,0.00388
100000,5e-05,4.8,4,0.00322
100000,5e-05,1.3,4,0.99999
100000,5e-05,8.6,4,0.00449
100000,5e-05,0.8,4,0.99999
100000,5e-05,6.1,4,0.00396
100000,5e-05,7.8,4,0.00441
100000,5e-05,7.3,4,0.00446
100000,5e-05,5.9,4,0.00395
100000,5e-05,6.2,4,0.00362
100000,5e-05,2.8,4,0.00335
100000,5e-05,9.3,4,0.0044
100000,5e-05,9.6,4,0.00479
100000,5e-05,5.9,4,0.00389
100000,5e-05,5.8,4,0.99999
100000,5e-05,3.6,4,0.99999
100000,5e-05,2.1,4,0.99998
100000,5e-05,8.1,4,0.00477
100000,5e-05,3.9,4,0.00308
100000,5e-05,3.4,4,0.00332
100000,5e-05,8.2,4,0.00447
100000,5e-05,4.9,4,0.00314
100000,5e-05,9.9,4,0.00481
100000,5e-05,3.1,4,0.00375
100000,5e-05,6.8,4,0.00402
100000,5e-05,5.7,4,0.00374
100000,5e-05,6.2,4,0.00362
100000,5e-05,8.1,4,0.00439
100000,5e-05,1.9,4,0.00856
100000,5e-05,9.8,4,0.99999
100000,5e-05,5.9,4,0.99999
100000,5e-05,4.1,4,0.00315
100000,5e-05,6.3,4,0.00386
100000,5e-05,6.8,4,0.0038
100000,5e-05,5.2,4,0.00347
100000,5e-05,4.1,4,0.00316
100000,5e-05,1.1,4,0.99999
100000,5e-05,6.6,4,0.00402
100000,5e-05,5.4,4,0.99999
100000,5e-05,0.4,4,0.99999
100000,5e-05,5.8,4,0.0038
100000,5e-05,5.5,4,0.0035
100000,5e-05,9.2,4,0.00437
100000,5e-05,6.7,4,0.00422
100000,5e-05,2.5,4,0.00427
100000,5e-05,1.1,4,0.99997
100000,5e-05,3.0,4,0.00391
100000,5e-05,6.3,4,0.00361
100000,5e-05,8.9,4,0.99999
100000,5e-05,3.3,4,0.00323
100000,5e-05,9.2,4,0.00455
100000,5e-05,7.0,4,0.00387
100000,5e-05,9.4,4,0.00438
100000,5e-05,8.1,4,0.00418
100000,5e-05,2.1,4,0.99999
100000,5e-05,9.5,4,0.00489
100000,5e-05,4.8,4,0.00336
100000,5e-05,3.2,4,0.00323
100000,5e-05,4.8,4,0.00307
100000,5e-05,1.7,4,0.01202
100000,5e-05,9.4,4,0.0046
100000,5e-05,8.9,4,0.00448
100000,5e-05,0.7,4,0.99968
100000,5e-05,4.0,4,0.00312
100000,5e-05,8.8,4,0.99999
100000,5e-05,6.4,4,0.0037
100000,5e-05,6.1,4,0.0036
100000,5e-05,1.0,4,0.99999
100000,5e-05,3.4,4,0.0033
100000,5e-05,8.4,4,0.00443
100000,5e-05,0.9,4,0.99997
100000,5e-05,9.9,4,0.00482
100000,5e-05,1.6,4,0.0159
100000,5e-05,9.5,4,0.00476
100000,5e-05,6.1,4,0.00365
100000,5e-05,1.1,4,0.99997
100000,5e-05,3.2,4,0.00311
100000,5e-05,5.5,4,0.00357
100000,5e-05,1.7,4,0.01245
100000,5e-05,4.4,4,0.00324
100000,5e-05,4.5,4,0.0037
100000,5e-05,0.1,4,0.99999
100000,5e-05,2.3,4,0.99999
100000,5e-05,0.7,4,0.99999
100000,5e-05,4.7,4,0.00333
100000,5e-05,7.3,4,0.00414
100000,5e-05,2.9,4,0.99999
100000,5e-05,3.7,4,0.00315
100000,5e-05,7.5,4,0.00443
100000,5e-05,2.7,4,0.00397
100000,5e-05,6.4,4,0.00371
100000,5e-05,1.8,4,0.01046
100000,5e-05,5.5,4,0.00359
100000,5e-05,4.9,4,0.00377
100000,5e-05,10.0,4,0.00469
100000,5e-05,0.6,4,0.99998
100000,5e-05,4.7,4,0.99999
100000,5e-05,2.2,4,0.00554
100000,5e-05,2.4,4,0.00494
100000,5e-05,8.6,4,0.00409
100000,5e-05,2.7,4,0.0041
100000,5e-05,1.4,4,0.02522
100000,5e-05,9.2,4,0.00406
100000,5e-05,3.0,4,0.99999
100000,5e-05,6.6,4,0.00361
100000,5e-05,8.7,4,0.00483
100000,5e-05,8.1,4,0.00414
100000,5e-05,6.9,4,0.00423
100000,5e-05,7.6,4,0.00415
100000,5e-05,5.1,4,0.00343
100000,5e-05,10.0,4,0.00499
100000,5e-05,0.3,4,0.99999
100000,5e-05,8.6,4,0.00448
100000,5e-05,0.8,4,0.99999
100000,5e-05,3.6,4,0.00322
100000,5e-05,5.4,4,0.00347
100000,5e-05,8.2,4,0.00435
100000,5e-05,0.5,4,0.99996
100000,5e-05,0.3,4,0.99998
100000,5e-05,5.1,4,0.00374
100000,5e-05,9.3,4,0.00448
100000,5e-05,5.5,4,0.00374
100000,5e-05,5.8,4,0.00364
100000,5e-05,4.6,4,0.99999
100000,5e-05,0.5,4,0.99988
100000,5e-05,5.9,4,0.00376
100000,5e-05,9.5,4,0.00425
100000,5e-05,6.8,4,0.00396
100000,5e-05,7.6,4,0.00423
100000,5e-05,8.9,4,0.00416
100000,5e-05,3.4,4,0.00328
100000,5e-05,9.1,4,0.00413
100000,5e-05,5.6,4,0.00351
100000,5e-05,0.1,4,0.99995
100000,5e-05,7.6,4,0.00404
100000,5e-05,1.0,4,0.99867
100000,5e-05,4.9,4,0.00365
100000,5e-05,6.8,4,0.00384
100000,5e-05,2.3,4,0.00506
100000,5e-05,8.2,4,0.00439
100000,5e-05,9.7,4,0.0045
100000,5e-05,0.6,4,0.99999
100000,5e-05,6.4,4,0.00376
100000,5e-05,7.5,4,0.00426
100000,5e-05,5.0,4,0.00325
100000,5e-05,6.5,4,0.00393
100000,5e-05,5.4,4,0.00353
100000,5e-05,4.4,4,0.99999
100000,5e-05,4.3,4,0.00302
100000,5e-05,3.4,4,0.00335
100000,5e-05,1.1,4,0.99997
100000,5e-05,2.5,4,0.99999
100000,5e-05,1.5,4,0.99999
100000,5e-05,7.5,4,0.00402
100000,5e-05,5.9,4,0.00407
100000,5e-05,5.3,4,0.00375
100000,5e-05,7.7,4,0.00439
100000,5e-05,5.3,4,0.00342
100000,5e-05,8.6,4,0.0044
100000,5e-05,2.6,4,0.00419
100000,5e-05,9.7,4,0.00459
100000,5e-05,7.6,4,0.00404
100000,5e-05,0.2,4,0.99999
100000,5e-05,8.9,4,0.00491
100000,5e-05,0.3,4,0.99999
100000,5e-05,6.4,4,0.00385
100000,5e-05,6.1,4,0.00427
100000,5e-05,7.4,4,0.00442
100000,5e-05,0.0,4,0.99999
100000,5e-05,1.6,4,0.01435
100000,5e-05,3.3,4,0.00325
100000,5e-05,3.1,4,0.00367
100000,5e-05,3.3,4,0.00332
100000,5e-05,1.7,4,0.01111
100000,5e-05,2.4,4,0.00466
100000,5e-05,9.6,4,0.00482
100000,5e-05,7.1,4,0.00421
100000,5e-05,7.7,4,0.00454
100000,5e-05,1.6,4,0.01486
100000,5e-05,2.7,4,0.00405
100000,5e-05,7.6,4,0.00427
100000,5e-05,9.1,4,0.00502
100000,5e-05,6.3,4,0.00332
100000,5e-05,6.9,4,0.00401
100000,5e-05,7.1,4,0.00429
100000,5e-05,6.4,4,0.00386
100000,5e-05,1.3,4,0.03252
100000,5e-05,3.2,4,0.00339
100000,5e-05,9.1,4,0.00499
100000,5e-05,2.7,4,0.00425
100000,5e-05,8.1,4,0.00443
100000,5e-05,7.4,4,0.00412
100000,5e-05,2.4,4,0.99995
100000,5e-05,7.9,4,0.00398
100000,5e-05,3.4,4,0.0035
100000,5e-05,2.9,4,0.00368
100000,5e-05,8.2,4,0.00433
100000,5e-05,2.8,4,0.99999
100000,5e-05,9.1,4,0.00463
100000,5e-05,7.7,4,0.00458
100000,5e-05,1.4,4,0.02454
100000,5e-05,3.5,4,0.00344
100000,5e-05,2.1,4,0.00597
100000,5e-05,2.7,4,0.99999
100000,5e-05,2.4,4,0.00476
100000,5e-05,5.0,4,0.00319
100000,5e-05,10.0,4,0.00474
100000,5e-05,1.6,4,0.01484
100000,5e-05,3.8,4,0.99999
100000,5e-05,4.3,4,0.00301
100000,5e-05,9.3,4,0.00451
100000,5e-05,5.8,4,0.00361
100000,5e-05,0.6,4,0.99999
100000,5e-05,6.1,4,0.00377
100000,5e-05,8.4,4,0.00441
100000,5e-05,5.5,4,0.00337
100000,5e-05,4.0,4,0.00349
100000,5e-05,2.9,4,0.00384
100000,5e-05,0.6,4,0.99993
100000,5e-05,5.3,4,0.00345
100000,5e-05,5.3,4,0.00367
100000,5e-05,7.4,4,0.0046
100000,5e-05,6.7,4,0.00399
100000,5e-05,0.2,4,0.99999
100000,5e-05,9.8,4,0.00413
100000,5e-05,6.1,4,0.0039
100000,5e-05,8.0,4,0.99998
100000,5e-05,7.2,4,0.00387
100000,5e-05,7.6,4,0.00434
100000,5e-05,6.5,4,0.00387
100000,5e-05,2.2,4,0.00574
100000,5e-05,0.9,4,0.99999
100000,5e-05,0.8,4,0.99999
100000,5e-05,5.1,4,0.00351
100000,5e-05,3.7,4,0.00311
100000,5e-05,8.0,4,0.00402
100000,5e-05,2.0,4,0.00705
100000,5e-05,2.0,4,0.00731
100000,5e-05,4.5,4,0.00348
100000,5e-05,0.1,4,0.99998
100000,5e-05,5.5,4,0.00394
100000,5e-05,8.8,4,0.00439
100000,5e-05,1.8,4,0.01023
100000,5e-05,7.9,4,0.00422
100000,5e-05,2.5,4,0.00427
100000,5e-05,7.3,4,0.00444
100000,5e-05,7.3,4,0.99999
100000,5e-05,0.8,4,0.99939
100000,5e-05,5.3,4,0.00363
100000,5e-05,0.0,4,0.99999
100000,5e-05,3.3,4,0.00332
100000,5e-05,1.3,4,0.99996
100000,5e-05,9.6,4,0.00421
100000,5e-05,4.6,4,0.00321
100000,5e-05,9.5,4,0.00455
100000,5e-05,5.2,4,0.0033
100000,5e-05,5.1,4,0.99998
100000,5e-05,3.7,4,0.00352
100000,5e-05,5.7,4,0.0039
100000,5e-05,1.8,4,0.01026
100000,5e-05,8.1,4,0.0045
100000,5e-05,2.0,4,0.00754
100000,5e-05,3.2,4,0.00329
100000,5e-05,6.4,4,0.00413
100000,5e-05,7.5,4,0.00422
100000,5e-05,5.4,4,0.00341
100000,5e-05,6.7,4,0.004
100000,5e-05,4.7,4,0.00314
100000,5e-05,5.8,4,0.00371
100000,5e-05,8.5,4,0.00408
100000,5e-05,7.1,4,0.00384
100000,5e-05,6.3,4,0.0037
100000,5e-05,3.1,4,0.00345
100000,5e-05,0.8,4,0.99996
100000,5e-05,9.5,4,0.00472
100000,5e-05,2.6,4,0.00405
100000,5e-05,9.6,4,0.00442
100000,5e-05,7.9,4,0.00414
100000,5e-05,5.9,4,0.0034
100000,5e-05,6.7,4,0.00347
100000,5e-05,6.5,4,0.00446
100000,5e-05,5.5,4,0.00343
100000,5e-05,2.0,4,0.00765
100000,5e-05,8.6,4,0.00412
100000,5e-05,6.8,4,0.00391
100000,5e-05,6.5,4,0.00386
100000,5e-05,4.7,4,0.00314
100000,5e-05,1.1,4,0.99992
100000,5e-05,3.6,4,0.00345
100000,5e-05,5.9,4,0.00382
100000,5e-05,3.5,4,0.00313
100000,5e-05,9.3,4,0.00446
100000,5e-05,8.1,4,0.004
100000,5e-05,4.6,4,0.00331
100000,5e-05,7.8,4,0.00433
100000,5e-05,5.9,4,0.0036
100000,5e-05,6.3,4,0.00403
100000,5e-05,8.3,4,0.00427
100000,5e-05,4.0,4,0.00337
100000,5e-05,4.1,4,0.00327
100000,5e-05,8.9,4,0.00475
100000,5e-05,0.5,4,0.99999
100000,5e-05,6.6,4,0.00389
100000,5e-05,4.8,4,0.00341
100000,5e-05,2.1,4,0.99999
100000,5e-05,8.4,4,0.00437
100000,5e-05,6.0,4,0.00369
100000,5e-05,8.0,4,0.00462
100000,5e-05,9.0,4,0.00447
100000,5e-05,3.2,4,0.99999
100000,5e-05,2.3,4,0.00509
100000,5e-05,4.2,4,0.00334
100000,5e-05,8.1,4,0.00451
100000,5e-05,0.6,4,0.99998
100000,5e-05,5.8,4,0.00353
100000,5e-05,9.7,4,0.00526
100000,5e-05,2.4,4,0.00493
100000,5e-05,8.7,4,0.00479
100000,5e-05,8.0,4,0.0046
100000,5e-05,5.5,4,0.00361
100000,5e-05,4.2,4,0.00297
100000,5e-05,3.6,4,0.00321
100000,5e-05,0.2,4,0.99999
100000,5e-05,5.9,4,0.00378
100000,5e-05,5.4,4,0.00378
100000,5e-05,0.8,4,0.99999
100000,5e-05,3.4,4,0.00336
100000,5e-05,9.7,4,0.00472
100000,5e-05,7.8,4,0.0043
100000,5e-05,6.9,4,0.00395
100000,5e-05,0.6,4,0.99999
100000,5e-05,4.1,4,0.00304
100000,5e-05,2.3,4,0.00537
100000,5e-05,5.3,4,0.0034
100000,5e-05,8.2,4,0.00412
100000,5e-05,7.6,4,0.0039
100000,5e-05,0.5,4,0.99999
100000,5e-05,8.2,4,0.00459
100000,5e-05,5.6,4,0.00371
100000,5e-05,3.8,4,0.00355
100000,5e-05,0.4,4,0.99999
100000,5e-05,2.1,4,0.00651
100000,5e-05,6.7,4,0.00382
