n,lambda,rho,prop,components
100000,1,7.8018269258444946,0.87217,10
100000,1,5.811576834526628,0.82983,4
100000,1,0.45128534757219674,0.39472,1
100000,7.230867194387014,4,0.00871,1
100000,1,7.397519172115957,0.8645,5
100000,1,7.281097172403631,0.86095,3
100000,6.152894166824703,4,0.02571,1
100000,6.940200033207514,4,0.01308,2
100000,9.004442336223528,4,0.00152,1
100000,1,2.3655335015503667,0.62775,3
100000,1,2.5762469777299337,0.64635,3
100000,3.3479489916098015,4,0.2575,1
100000,1,3.6429828994676408,0.73458,1
100000,7.091846013322316,4,0.01116,1
100000,0.4830893235938405,4,0.87945,3
100000,6.557729996367686,4,0.01801,1
100000,1,8.3908952260754,0.88214,8
100000,3.86444647458286,4,0.18256,1
100000,6.350148551506251,4,0.02247,1
100000,1,5.954654133128475,0.83265,5
100000,2.6141472835276525,4,0.38874,4
100000,1,5.1658508503854215,0.80938,4
100000,1,5.821833290773184,0.8286,4
100000,4.7251042871880475,4,0.0906,2
100000,1,7.4101484118831245,0.86435,3
100000,1,3.7508773249027403,0.73767,4
100000,2.4975997882053824,4,0.40972,4
100000,2.422593708850701,4,0.42919,3
100000,1.0114060341100084,4,0.75455,4
100000,1,7.9686062271109215,0.87427,7
100000,4.970577487335142,4,0.07263,1
100000,1,3.8374949713015383,0.74405,3
100000,5.813404689236092,4,0.03655,2
100000,8.484472703803565,4,0.00238,1
100000,1,8.297272293706369,0.87982,7
100000,2.357051557256482,4,0.44296,3
100000,1.486672464189891,4,0.64035,4
100000,4.1267159921918575,4,0.14467,1
100000,0.9045370145901588,4,0.77713,5
100000,1,9.33593773493443,0.89391,11
100000,1,0.42277591917202484,0.3951,1
100000,9.986113621871942,4,0.00065,1
100000,1,4.3771813316677495,0.77432,5
100000,8.046279568846943,4,0.00434,1
100000,1,2.254811224757706,0.61514,2
100000,9.539507333681994,4,0.00107,1
100000,0.08516960261406026,4,0.979,5
100000,8.168270140212377,4,0.00346,1
100000,1,9.888989260232389,0.89934,7
100000,9.116234212229562,4,0.00142,1
100000,1.290660381333063,4,0.68266,2
100000,1,9.134518546542726,0.88956,9
100000,3.589633389074015,4,0.2186,1
100000,1,5.878402944033489,0.82975,6
100000,1,2.2819588291709483,0.6152,1
100000,1,3.820243092745166,0.74529,1
100000,1,9.535700255229706,0.89338,6
100000,2.3004161291264005,4,0.46102,3
100000,1,8.884859059153294,0.88662,4
100000,1,9.097308272800046,0.89019,3
100000,4.88906039833739,4,0.0829,2
100000,2.6847419215649584,4,0.37565,3
100000,1,7.485659799925032,0.86834,5
100000,1,0.18993584013552556,0.37709,1
100000,7.871027267970394,4,0.0051,1
100000,1,0.22584184651066153,0.38133,1
100000,1,3.772692675281278,0.74298,2
100000,1,9.129350810167146,0.89059,5
100000,1,5.514814463965287,0.81982,3
100000,5.789547368791713,4,0.03631,1
100000,1,5.160382819215861,0.80706,7
100000,1,3.2960326465792478,0.70875,3
100000,0.039383716287746395,4,0.99084,2
100000,6.100742669040574,4,0.02836,2
100000,1,5.7839542652477665,0.82755,6
100000,7.019105356508568,4,0.01207,1
100000,1,2.395330657452186,0.62816,1
100000,8.38676438222155,4,0.00349,1
100000,4.260627747885611,4,0.13126,2
100000,4.1010193975798,4,0.1544,1
100000,1,3.243529632458908,0.70493,1
100000,1,6.191836723852017,0.83948,6
100000,5.0417487173060085,4,0.07158,3
100000,1,4.535976274096809,0.78117,3
100000,6.755268562919589,4,0.01531,2
100000,1,9.643896396849772,0.89714,9
100000,1,4.836091778965495,0.79203,4
100000,8.203788378175226,4,0.00385,3
100000,1,9.788889640226813,0.89722,5
1000,1,6.002374349017897,0.834,4
1000,9.286061703134033,4,0.001,1
100,6.806870439219821,4,0.01,1
100,1,8.70129559971453,0.87,3
100,1,6.547416299102441,0.89,2
100,5.249331807581402,4,0.05,2
100,1,3.7945051618073142,0.71,2
100,1,0.5799128958112953,0.36,1
100,1.3572634577907239,4,0.66,4
100,1,9.52914051428359,0.87,3
100,9.571138314540327,4,0.01,1
100,1,4,0.75,5
100,1,4,0.77,1
100,1,4,0.82,2
100,1,4,0.76,3
100,1,4,0.78,2
100,1,4,0.68,2
100,1,4,0.86,2
100,1,4,0.79,2
100,1,4,0.73,2
100,1,4,0.8,3
100,1,4,0.77,3
100,1,4,0.68,3
100,1,4,0.71,2
100,1,4,0.71,1
100,1,4,0.65,2
100,1,4,0.73,2
100,1,4,0.81,2
100,1,4,0.68,1
100000,1,4,0.75613,2
100000,1,4,0.75506,4
100000,1,4,0.75517,2
100000,1,4,0.75561,4
100000,1,4,0.75622,5
100000,1,4,0.75317,6
100000,1,4,0.75753,5
100000,1,4,0.75682,3
100000,1,4,0.75635,2
100000,1,4,0.75452,5
100000,1,4,0.75458,2
100000,1,4,0.75569,6
100000,1,4,0.75648,4
100000,1,4,0.75421,4
100000,1,4,0.75771,6
100000,1,4,0.75238,3
100000,1,4,0.75603,1
100000,1,4,0.75293,6
100000,1,4,0.75461,3
100000,1,4,0.75516,2
100000,1,4,0.75714,7
100000,1,4,0.75999,4
100000,1,4,0.7537,5
100000,1,4,0.7562,2
100000,1,4,0.75514,3
100000,1,4,0.75474,2
100000,1,4,0.75512,5
100000,1,4,0.75708,2
100000,1,4,0.75531,1
100000,1,4,0.75394,5
100000,1,4,0.75439,5
100000,1,4,0.75594,3
100000,1,4,0.75609,2
100000,1,4,0.75795,6
100000,1,4,0.75522,1
100000,1,4,0.75682,4
100000,1,4,0.7554,2
100000,1,4,0.75624,4
100000,1,4,0.75451,4
100000,1,4,0.75554,3
100000,1,4,0.74988,2
100000,1,4,0.75038,3
100000,1,4,0.75513,3
100000,1,4,0.75261,2
100000,1,4,0.75617,4
100000,1,4,0.75676,4
100000,1,4,0.75536,2
100000,1,4,0.75631,1
100000,1,4,0.75469,2
100000,1,4,0.75453,4
100000,1,4,0.755,4
100000,1,4,0.75491,2
100000,1,4,0.75599,3
100000,1,4,0.75504,6
100000,1,4,0.75292,7
100000,1,4,0.75436,4
100000,1,4,0.75517,4
100000,1,4,0.75535,5
100000,1,4,0.75846,4
100000,1,4,0.75395,3
100000,1,4,0.75436,3
100000,1,4,0.75558,2
100000,1,4,0.75123,2
100000,1,4,0.7544,3
100000,1,4,0.75544,8
100000,1,4,0.7538,2
100,1,4,0.85,2
100,1,4,0.77,3
100,1,4,0.71,2
100,1,4,0.8,2
100,1,4,0.78,2
100,1,4,0.71,4
100,1,4,0.74,2
100,1,4,0.78,2
100,1,4,0.79,3
100,1,4,0.79,2
100,1,4,0.85,2
100,1,4,0.81,3
100,1,4,0.78,2
100,1,4,0.77,2
100,1,4,0.72,3
100,1,4,0.71,4
100,1,4,0.74,2
100,1,4,0.79,2
100,1,4,0.76,2
100,1,4,0.78,2
100,1,4,0.79,2
100,1,4,0.79,3
100,1,4,0.76,1
100,1,4,0.78,2
100,1,4,0.7,2
100,1,4,0.66,1
100,1,4,0.76,3
100,1,4,0.89,2
100,1,4,0.67,2
100,1,4,0.69,3
100,1,4,0.77,2
100,1,4,0.7,2
100,1,4,0.84,4
100,1,4,0.76,2
100,1,4,0.78,2
100,1,4,0.76,3
100,1,4,0.81,2
100,1,4,0.82,4
100,1,4,0.72,2
100,1,4,0.65,3
100,1,4,0.81,2
100,1,4,0.86,3
100,1,4,0.75,5
100,1,4,0.68,3
100,1,4,0.8,4
100,1,4,0.74,2
100,1,4,0.76,3
100,1,4,0.78,2
100,1,4,0.84,3
100,1,4,0.86,3
100,1,4,0.68,2
100,1,4,0.74,2
100,1,4,0.75,2
100,1,4,0.77,2
100,1,4,0.64,2
100,1,4,0.79,2
100,1,4,0.7,3
100,1,4,0.78,2
100,1,4,0.74,2
100,1,4,0.79,3
100,1,4,0.75,2
100,1,4,0.71,5
100,1,4,0.77,2
100,1,4,0.78,5
100,1,4,0.8,2
100,1,4,0.81,2
100,1,4,0.74,2
100,1,4,0.64,2
100,1,4,0.81,2
100,1,4,0.79,3
100,1,4,0.67,1
100,1,4,0.77,2
100,1,4,0.83,2
100,1,4,0.76,3
100,1,4,0.81,4
100,1,4,0.78,3
100,1,4,0.74,3
100,1,4,0.71,3
100,1,4,0.8,2
100,1,4,0.69,1
100,1,4,0.67,2
100,1,4,0.73,2
100,1,4,0.8,3
100,1,4,0.78,3
100,1,4,0.79,3
100,1,4,0.82,3
100,1,4,0.79,2
100,1,4,0.69,3
100,1,4,0.68,2
100,1,4,0.66,2
100,1,4,0.67,2
100,1,4,0.76,3
100,1,4,0.79,3
100,1,4,0.74,2
100,1,4,0.78,2
100,1,4,0.82,2
100,1,4,0.82,1
100,1,4,0.75,3
100,1,4,0.74,2
100,1,4,0.79,3
100,1,4,0.77,2
100,1,4,0.68,2
100,1,4,0.79,3
100,1,4,0.68,2
100,1,4,0.81,3
100,1,4,0.74,3
100,1,4,0.75,2
100,1,4,0.78,2
100,1,4,0.77,1
100,1,4,0.71,2
100,1,4,0.73,3
100,1,4,0.7,2
100,1,4,0.77,4
100,1,4,0.78,2
100,1,4,0.72,2
100,1,4,0.76,2
100,1,4,0.76,3
100,1,4,0.72,2
100,1,4,0.79,2
100,1,4,0.79,4
100,1,4,0.75,3
100,1,4,0.59,1
100,1,4,0.86,2
100,1,4,0.85,2
100,1,4,0.71,3
100,1,4,0.82,3
100,1,4,0.78,4
100,1,4,0.73,2
100,1,4,0.73,2
100,1,4,0.72,2
100,1,4,0.85,2
100,1,4,0.78,1
100,1,4,0.76,3
100,1,4,0.71,1
100,1,4,0.75,1
100,1,4,0.76,2
100,1,4,0.76,1
100,1,4,0.7,2
100,1,4,0.66,2
100,1,4,0.65,3
100,1,4,0.67,3
100,1,4,0.61,1
100,1,4,0.7,3
100,1,4,0.67,2
100,1,4,0.77,2
100,1,4,0.79,2
100,1,4,0.71,2
100,1,4,0.73,2
100,1,4,0.73,2
100,1,4,0.86,3
100,1,4,0.77,3
100,1,4,0.74,3
100,1,4,0.63,2
100,1,4,0.76,2
100,1,4,0.79,2
100,1,4,0.71,2
100,1,4,0.74,2
100,1,4,0.75,2
100,1,4,0.72,2
100,8,4,0.0,1
100,8,4,0.01,1
100,8,4,0.0,1
100,8,4,0.0,1
100,8,4,0.0,1
100,6,4,0.11,2
100,6,4,0.01,1
100,6,4,0.04,1
100,6,4,0.02,1
100,6,4,0.02,1
100,6,4,0.25,1
100,6,4,0.0,1
100,6,4,0.2,2
100,6,4,0.04,1
100,6,4,0.09,1
100,6,4,0.02,1
100,6,4,0.06,1
100,6,4,0.0,1
100,6,4,0.01,1
100,6,4,0.04,1
100,6,4,0.0,1
100,6,4,0.09,1
100,6,4,0.04,1
100,6,4,0.02,1
100,6,4,0.02,1
100,6,4,0.01,1
100,6,4,0.0,1
100,6,4,0.0,1
100,6,4,0.0,1
100,6,4,0.0,1
100,6,4,0.09,1
100,6,4,0.0,1
100,6,4,0.05,2
100,6,4,0.03,1
100,6,4,0.01,1
100,6,4,0.01,1
100,6,4,0.0,1
100,6,4,0.0,1
