lambda,rho,R
0.05,4,0.0005434178477908294
0.1,4,0.0006377016672715426
0.15,4,0.0006810813994437417
0.2,4,0.0007176991734839665
0.25,4,0.0007556140914233394
0.3,4,0.000796913861364221
0.35,4,0.0008426167072532046
0.4,4,0.0008936244372144632
0.45,4,0.0009509688474524059
0.5,4,0.0010159269614433875
0.55,4,0.0010901289100389863
0.6,4,0.0011756994728036637
0.65,4,0.0012754647333133333
0.7,4,0.0013932682545590397
0.75,4,0.0015344730994854973
0.8,4,0.0017067908224805389
0.85,4,0.0019217131617193044
0.9,4,0.0021971172475228123
0.95,4,0.0025623047697188738
1.0,4,0.003068464150826678
1.05,4,0.003812204218293395
1.1,4,0.004993253492338606
1.15,4,0.007068089827469905
1.2,4,0.01118201134025593
1.25,4,0.020339946904783048
1.3,4,0.041628533241169156
1.35,4,0.08477920224285844
1.4,4,0.1460248010547117
1.45,4,0.20520656417715158
1.5,4,0.2535526531909854
1.55,4,0.2939926559110951
1.6,4,0.32977595362032164
1.65,4,0.3624036903412293
1.7,4,0.39250024333174865
1.75,4,0.42038964581080007
1.8,4,0.4462983846049204
1.85,4,0.4704133356489636
1.9,4,0.492897673904005
1.95,4,0.5138961710907736
2.0,4,0.533537919531751
2.05,4,0.5519383285329834
2.1,4,0.5692007962574317
2.15,4,0.5854181543861583
2.2,4,0.6006739229797842
2.25,4,0.6150434011255366
2.3,4,0.6285946153221345
2.35,4,0.6413891450044388
2.4,4,0.6534828421908558
2.45,4,0.6649264599548049
2.5,4,0.6757662023552435
2.55,4,0.6860442066409456
2.6,4,0.6957989669682102
2.65,4,0.7050657075222464
2.7,4,0.7138767117830066
2.75,4,0.7222616137006879
2.8,4,0.7302476557185592
2.85,4,0.7378599178799468
2.9,4,0.7451215216609477
2.95,4,0.7520538116655225
3.0,4,0.7586765178905833
3.05,4,0.7650079009021552
3.1,4,0.771064881952275
3.15,4,0.7768631597991082
3.2,4,0.7824173157640738
3.25,4,0.7877409083637444
3.3,4,0.7928465586852101
3.35,4,0.7977460275283229
3.4,4,0.8024502852123649
3.45,4,0.8069695748359682
3.5,4,0.8113134696848916
3.55,4,0.815490925399958
3.6,4,0.8195103274466999
3.65,4,0.8233795343654708
3.7,4,0.8271059172264886
3.75,4,0.8306963956673517
3.8,4,0.8341574708478201
3.85,4,0.8374952556207184
3.9,4,0.840715502185494
3.95,4,0.8438236274621004
4.0,4,0.846824736398612
4.05,4,0.8497236434026374
4.1,4,0.8525248920685142
4.15,4,0.8552327733529009
4.2,4,0.8578513423382321
4.25,4,0.8603844337074678
4.3,4,0.8628356760430548
4.35,4,0.8652085050512016
4.4,4,0.8675061758030346
4.45,4,0.8697317740757118
4.5,4,0.8718882268683541
4.55,4,0.8739783121609523
4.6,4,0.8760046679782052
4.65,4,0.8779698008144357
4.7,4,0.8798760934704222
4.75,4,0.8817258123490188
4.8,4,0.8835211142519969
4.85,4,0.8852640527165376
4.9,4,0.886956583927027
4.95,4,0.888600572234293
5.0,4,0.8901977953120297
5.05,4,0.891749948977343
5.1,4,0.8932586517003323
5.15,4,0.8947254488254853
5.2,4,0.8961518165256728
5.25,4,0.897539165508211
5.3,4,0.8988888444905513
5.35,4,0.9002021434615927
5.4,4,0.9014802967440823
5.45,4,0.9027244858717093
5.5,4,0.9039358422933228
5.55,4,0.9051154499165598
5.6,4,0.9062643475014825
5.65,4,0.9073835309142101
5.7,4,0.9084739552499513
5.75,4,0.9095365368340553
5.8,4,0.9105721551089296
5.85,4,0.9115816544143334
5.9,4,0.9125658456678554
5.95,4,0.9135255079520032
6.0,4,0.9144613900135111
6.05,4,0.915374211680914
6.1,4,0.9162646652048817
6.15,4,0.9171334165265791
6.2,4,0.9179811064779858
6.25,4,0.9188083519188078
6.3,4,0.919615746813447
6.35,4,0.9204038632516358
6.4,4,0.9211732524163768
6.45,4,0.9219244455018722
6.5,4,0.9226579545847415
6.55,4,0.9233742734510015
6.6,4,0.9240738783814418
6.65,4,0.9247572288978941
6.7,4,0.9254247684722233
6.75,4,0.9260769252007791
6.8,4,0.9267141124454916
6.85,4,0.9273367294443222
6.9,4,0.9279451618917568
6.95,4,0.9285397824919113
7.0,4,0.9291209514852616
7.05,4,0.9296890171504342
7.1,4,0.9302443162825655
7.15,4,0.9307871746493147
7.2,4,0.9313179074258308
7.25,4,0.9318368196097041
7.3,4,0.9323442064171134
7.35,4,0.9328403536608343
7.4,4,0.9333255381113862
7.45,4,0.9338000278418849
7.5,4,0.9342640825576204
7.55,4,0.9347179539112028
7.6,4,0.9351618858037338
7.65,4,0.9355961146728201
7.7,4,0.9360208697682622
7.75,4,0.93643637341583
7.8,4,0.9368428412696183
7.85,4,0.9372404825538453
7.9,4,0.9376295002943853
7.95,4,0.9380100915405093
8.0,4,0.9383824475774858
8.05,4,0.938746754130298
8.1,4,0.9391031915588568
8.15,4,0.9394519350455345
8.2,4,0.9397931547746513
8.25,4,0.9401270161050221
8.3,4,0.9404536797353925
8.35,4,0.9407733018631749
8.4,4,0.9410860343372566
8.45,4,0.9413920248041593
8.5,4,0.9416914168490288
8.55,4,0.9419843501307636
8.6,4,0.9422709605119944
8.65,4,0.9425513801840387
8.7,4,0.9428257377870625
8.75,4,0.9430941585256327
8.8,4,0.9433567642798382
8.85,4,0.9436136737122751
8.9,4,0.9438650023710182
8.95,4,0.9441108627887032
9.0,4,0.9443513645778329
9.05,4,0.9445866145228224
9.1,4,0.9448167166683301
9.15,4,0.9450417724046641
9.2,4,0.9452618805497984
9.25,4,0.9454771374287139
9.3,4,0.9456876369496063
9.35,4,0.9458934706774966
9.4,4,0.9460947279053402
9.45,4,0.9462914957223213
9.5,4,0.946483859080004
9.55,4,0.9466719008560512
9.6,4,0.9468557019156879
9.65,4,0.9470353411711507
9.7,4,0.947210895638963
9.75,4,0.9473824404953283
9.8,4,0.9475500491295227
9.85,4,0.947713793195614
9.9,4,0.9478737426623091
9.95,4,0.9480299658612208
