S,I,R,theta,t
0.9999949985125133,5.001487486722134e-06,5.001487486722134e-10,0.9999989997000012,0.0
0.9999932490175515,6.194611157694929e-06,5.569907519058733e-07,0.9999986497989527,0.1
0.9999908875655613,7.85802455782747e-06,1.2551956833400596e-06,0.9999981775048086,0.2
0.999987700105785,1.0151186064066842e-05,2.149723269578151e-06,0.9999975400060281,0.3
0.9999833977216613,1.328980433734639e-05,3.3138029817705815e-06,0.9999966795167684,0.4
0.9999775904501034,1.7565462762880735e-05,4.845843680009434e-06,0.9999955180398011,0.5
0.9999697519487193,2.3372107758157235e-05,6.878280733330896e-06,0.9999939502982476,0.6
0.9999591718144107,3.124179739066868e-05,9.589512378376095e-06,0.9999918341961835,0.7
0.9999448912427683,4.1892941489596325e-05,1.3220005036195e-05,0.999988977944845,0.8
0.9999256162169348,5.629538868756612e-05,1.8094023916505532e-05,0.9999851226900648,0.9
0.999899600395042,7.575822804362087e-05,2.46489527371781e-05,0.9999799190709329,1.0
0.99986448715054,0.00010204820442105689,3.3474849859355495e-05,0.9999728955935688,1.1
0.9998170965740295,0.00013754937306176274,4.536780784604268e-05,0.9999634159690316,1.2
0.9997531383616354,0.00018547826642356657,6.140191976769624e-05,0.9999506215772571,1.3
0.9996668249873515,0.000250173715085511,8.30263149345145e-05,0.9999333538944452,1.4
0.9995503508649675,0.000337486934174569,0.00011219594955134138,0.9999100499484962,1.5
0.9993931916894928,0.00045530603396304326,0.00015154780714754114,0.9998786015013634,1.6
0.9991811629941446,0.0006142603164361882,0.00020463811545087506,0.9998361655128005,1.7
0.9988951572142437,0.0008286642336553518,0.0002762614185243302,0.9997789092851056,1.8
0.9985094531776664,0.0011177793797381153,0.0003728792205334462,0.9997016682415304,1.9
0.9979894600011211,0.0015074958816284623,0.0005031948668386502,0.9995974872304874,2.0
0.9972887183967963,0.002032562053606468,0.0006789228058026048,0.9994570072431409,2.1
0.9963449371679316,0.002739521998114225,0.0009158147861540122,0.9992676482208888,2.2
0.9950747946993739,0.0036905512898831594,0.001235023065871995,0.9990125251806852,2.3
0.9933671934012483,0.00496840250650199,0.0016649009325003258,0.9986690197169874,2.4
0.9910746381321244,0.006682668020019267,0.0022433621146583306,0.9982069136975306,2.5
0.9880024536764226,0.00897750511692541,0.0030209389571636642,0.9975859804481615,2.6
0.9838957256443137,0.01204079225200494,0.004064686182906582,0.9967529285162495,2.7
0.9784242501500127,0.016114304208945773,0.005463057071462503,0.9956376181201707,2.8
0.9711665713692847,0.02150377388656244,0.007331805121541486,0.9941485441612351,2.9
0.9615955844830298,0.02858647965789063,0.009820794507045282,0.9921677385888985,3.0
0.9490703928629068,0.03781211043233934,0.01312127791579704,0.9895455385414299,3.1
0.9328421682203827,0.049690146943713875,0.0174726538505978,0.9860961483320981,3.2
0.9120851669981925,0.06475440285947265,0.023166905582620783,0.9815956183197077,3.3
0.8859661778810933,0.08349426130874205,0.030547910236295484,0.9757846993890391,3.4
0.8537632313754216,0.10624551759455836,0.040001875581779416,0.9683797259466969,3.5
0.8150328850388132,0.13304546347798463,0.05193495602954991,0.9590946366371144,3.6
0.7698019831867414,0.16347878185848197,0.06673558283296248,0.9476756076201078,3.7
0.7187292897137173,0.1965673242269249,0.0847230427917805,0.9339458996805866,3.8
0.6631622901293874,0.23077074215690263,0.10609004478792561,0.9178528925483825,3.9
0.6050292838865938,0.2641441041784456,0.13085302634537838,0.8995043161991296,4.0
0.5465664116531272,0.29463728470903006,0.1588257673663136,0.8791801086063873,4.1
0.489956932550187,0.32044849660003905,0.18962661569943393,0.8573124431010041,4.2
0.4370037840661637,0.34031153641840006,0.22271871066907803,0.8344373150532537,4.3
0.3889340093031731,0.35362965928612833,0.25747169437662715,0.8111308816702678,4.4
0.34636440247344175,0.3604433566656969,0.293228285196528,0.7879472256406745,4.5
0.3093916893479037,0.361283152242499,0.3293612867248215,0.765370559650556,4.6
0.27774210856271375,0.35698040054099967,0.3653131889363407,0.7437875474237082,4.7
0.2509236247188466,0.3484939460746655,0.4006172786010954,0.7234786659714444,4.8
0.22834868158562924,0.33678146752472915,0.434903529036394,0.7046236973952203,4.9
0.2094181537070172,0.32271999802377827,0.46789412026900684,0.6873155419234813,5.0
0.19357064896358583,0.3070669210231765,0.49939313670533997,0.67157745555477,5.1
0.18030630588629412,0.29044887358024296,0.5292738654208209,0.6573803650052986,5.2
0.1691941946581734,0.2733672441885112,0.5574658978777343,0.6446583714140952,5.3
0.15987039373121475,0.2562119745957459,0.5839432528704989,0.633321633762553,5.4
0.15203150727113598,0.23927835747974027,0.6087140630848717,0.623266501012433,5.5
0.14542651499500803,0.22278380560016753,0.6318119577853845,0.6143831256934402,5.6
0.1398485444607945,0.2068830901243657,0.6532890537238523,0.6065609465503561,5.7
0.13512733832535087,0.19168146354392487,0.6732103662770786,0.5996924603465943,5.8
0.1311227151569677,0.17724558707011542,0.6916494223316239,0.5936756725318957,5.9
0.12771906891685814,0.16361242989772729,0.7086848624284043,0.5884155597607753,6.0
0.12482083032275473,0.15079640703292294,0.7243978422850256,0.5838248145325569,6.1
0.12234876514926875,0.13879504241284113,0.7388700719421314,0.5798240836165963,6.2
0.12023697497494723,0.1275934256321678,0.7521823587354481,0.5763418615840907,6.3
0.11843047473262082,0.11716769654623325,0.7644135454908005,0.5733141596587213,6.4
0.1168832375936101,0.10748775430340982,0.7756397568784105,0.5706840376454666,6.5
0.115556615513998,0.0985193517177234,0.7859338847034504,0.5684010616984566,6.6
0.1144180604980879,0.09022570467504719,0.7953652573973324,0.5664207317979902,6.7
0.11344008621466091,0.08256872006672782,0.803999450590618,0.5647039087607383,6.8
0.11259942178474205,0.07550992431972844,0.8118982048879615,0.5632162603167287,6.9
0.11187631948168744,0.06901115735648286,0.8191194242775653,0.5619277383586102,7.0
0.11125398603597084,0.0630350830946523,0.8257172343776863,0.5608120941918333,7.1
0.11071811354557677,0.05754555674111665,0.8317420842689807,0.5598464349356559,7.2
0.11025649096755046,0.052507880578828006,0.8372408792416794,0.5590108217201748,7.3
0.10985868107646203,0.04788897321477191,0.8422571346060875,0.558287908673314,7.4
0.10951575084533269,0.04365747196554773,0.8468311429363161,0.5576626206532659,7.5
0.10922004561553107,0.039783783894706534,0.8510001488681519,0.5571218670779869,7.6
0.10896499931855655,0.03624009773836298,0.8547985269528543,0.5566542889023709,7.7
0.10874497450805794,0.03300036637073604,0.8582579591578431,0.5562500356997437,7.8
0.10855512714341509,0.030040267419111588,0.8614076094642152,0.5559005698476749,7.9
0.10839129200560994,0.027337148021250854,0.8642742936879413,0.5555984949490096,8.0
0.10824988537521056,0.024869958436373144,0.8668826431842599,0.5553374058020784,8.1
0.10812782220237235,0.022619178202452767,0.8692552615129951,0.5551117574445781,8.2
0.10802244548171838,0.020566737722329503,0.8714128734697244,0.5549167510166308,8.3
0.1079314659356581,0.0186959375157056,0.8733744661423879,0.5547482344089052,8.4
0.10785291042716802,0.016991366859510443,0.8751574218500074,0.5546026158738018,8.5
0.10778507778242437,0.015438823128858067,0.8767776429710304,0.5544767889774478,8.6
0.1077265009165096,0.014025232823654643,0.8782496687831182,0.5543680674549925,8.7
0.10767591433090005,0.012738575005489486,0.879586784521111,0.5542741287004406,8.8
0.10763222619674843,0.011567807662354171,0.8808011229216637,0.554192964774833,8.9
0.10759449435884826,0.010502797354676421,0.8819037585662108,0.5541228399535482,9.0
0.10756190569603037,0.009534252366625126,0.8829047953625812,0.5540622539555322,9.1
0.10753375835832359,0.008653659484985851,0.883813447522639,0.554009910105662,9.2
0.10750944647222735,0.007853224448767598,0.8846381144014499,0.5539646877770255,9.3
0.10748844696544765,0.007125816051561734,0.8853864495645958,0.5539256185442796,9.4
0.10747030821306913,0.006464913832291863,0.8860654244460222,0.5538918655530948,9.5
0.10745464025015765,0.00586455925523284,0.886681386950535,0.5538627056755631,9.6
0.10744110633224736,0.005319310254936135,0.887240115343842,0.5538375140779751,9.7
0.10742941565631767,0.0048241990039588345,0.8877468677596239,0.5538157508768937,9.8
0.10741931708130614,0.004374692749665843,0.8882064276383029,0.5537969496023593,9.9
0.10741059370991228,0.003966657559424561,0.8886231453964191,0.553780707224626,10.0
0.10740305821281827,0.0035963248104147055,0.889000976609248,0.5537666755333818,10.1
0.10739654879299758,0.003260260260085149,0.8893435169729432,0.5537545536865806,10.2
0.1073909257021073,0.0029553355353469785,0.8896540342960992,0.5537440817707395,10.3
0.10738606823310239,0.0026787018823954817,0.8899354977546904,0.5537350352356954,10.4
0.10738187212374083,0.002427766024147529,0.890190604628714,0.5537272200853427,10.5
0.10737824731466605,0.002200167978210321,0.8904218047239214,0.5537204687218501,10.6
0.10737511601352191,0.0019937606949827907,0.8906313226675648,0.5537146363547182,10.7
0.10737241102320737,0.0018065913824660967,0.8908211782534647,0.553709597897974,10.8
0.10737007429818492,0.0016368843915691572,0.8909932049986851,0.553705245289278,10.9
0.10736805569765709,0.001483025543046218,0.891149067061851,0.5537014851735912,11.0
0.1073663119087327,0.0013435477844292304,0.8912902746616165,0.5536982369018891,11.1
0.1073648055163788,0.0012171180724031422,0.8914181981230253,0.5536954308021081,11.2
0.10736350420011526,0.0011025253831064563,0.8915340806693166,0.553693006685297,11.3
0.10736238004018547,0.0009986697593761529,0.8916390500674143,0.5536909125550363,11.4
0.10736140891824159,0.0009045523105113973,0.8917341292264781,0.5536891034924288,11.5
0.10736056999968704,0.0008192660861034706,0.8918202458408181,0.5536875406928332,11.6
0.10735984528652759,0.0007419877513701878,0.8918982411608773,0.5536861906336719,11.7
0.107359219231126,0.0006719699968275178,0.8919688779690461,0.5536850243554878,11.8
0.10735867840256058,0.0006085346203102415,0.8920328478305912,0.553684016840844,11.9
0.10735821119842193,0.0005510662241687836,0.8920907776840317,0.5536831464777542,12.0
0.10735780759585829,0.0004990064749832851,0.8921432358298059,0.5536823945961463,12.1
0.10735745893652024,0.00045184887732954704,0.8921907373710379,0.5536817450674124,12.2
0.10735715774078332,0.00040913401709911923,0.8922337491555192,0.5536811839584547,12.3
0.10735689754727959,0.00037044523343057745,0.8922726942638132,0.5536806992328444,12.4
0.10735667277426154,0.000335404681782156,0.8923079560844245,0.5536802804926265,12.5
0.10735647859985233,0.0003036697537161931,0.8923398820134069,0.5536799187552891,12.6
0.10735631085860112,0.00027492982191032467,0.8923687868124708,0.5536796062610932,12.7
0.10735616595211436,0.00024890328155083297,0.8923949556566629,0.5536793363066147,12.8
0.10735604077186012,0.0002253348617179407,0.8924186468999081,0.5536791031009556,12.9
0.10735593263247824,0.00020399318266349498,0.8924400945841765,0.553678901641521,13.0
0.10735583921417519,0.00018466853689730334,0.8924595107157812,0.5536787276067165,13.1
0.10735575851295581,0.00016717087401835196,0.8924770873301132,0.5536785772632415,13.2
0.10735568879763091,0.0001513279708670323,0.8924929983642992,0.5536784473860025,13.3
0.10735562857268195,0.00013698377025621322,0.8925074013554388,0.5536783351889377,13.4
0.10735557654617787,0.00012399687299548268,0.8925204389805139,0.5536782382652508,13.5
0.10735553160205921,0.00011223916928274069,0.892532240452575,0.55367815453578,13.6
0.10735549277619653,0.00010159459673782234,0.8925429227865254,0.5536780822043982,13.7
0.10735545923570851,9.195801355270372e-05,0.8925525919465401,0.5536780197194849,13.8
0.10735543026109574,8.323417618937012e-05,0.8925613438861325,0.5536779657406432,13.9
0.10735540523080334,7.533681206339793e-05,0.8925692654908145,0.5536779191099414,14.0
0.10735538360789068,6.818777847591995e-05,0.8925764354324113,0.5536778788270794,14.1
0.10735536492850813,6.171629986988225e-05,0.892582924943252,0.5536778440279225,14.2
0.10735534879195413,5.585827616788608e-05,0.8925887985177056,0.5536778139659779,14.3
0.10735533485207162,5.0555655672787636e-05,0.8925941145478211,0.5536777879963666,14.4
0.1073553228098262,4.575586649989416e-05,0.8925989258992606,0.5536777655619973,14.5
0.10735531240689444,4.1411301188509775e-05,0.8926032804330472,0.553677746181622,14.6
0.10735530342011565,3.747884951446623e-05,0.8926072214782549,0.5536777294394991,14.7
0.1073552956567079,3.3919475060678606e-05,0.8926107882601789,0.5536777149764818,14.8
0.10735528895013394,3.0697831440912315e-05,0.8926140162882082,0.5536777024823163,14.9
0.107355283156526,2.778191453921275e-05,0.8926169377071262,0.5536776916889811,15.0
0.10735527815160356,2.514274735759825e-05,0.8926195816153136,0.5536776823649452,15.1
0.1073552738280012,2.275409447743959e-05,0.8926219743529308,0.55367767431019,15.2
0.10735527009297105,2.059220333630596e-05,0.892624139762913,0.5536776673519287,15.3
0.10735526686639131,1.8635569830047216e-05,0.8926260994273356,0.5536776613408968,15.4
0.10735526407904601,1.6864725974549688e-05,0.8926278728814521,0.5536776561481467,15.5
0.10735526167114244,1.5262047541500512e-05,0.8926294778075208,0.5536776516622864,15.6
0.10735525959102707,1.3811579813199915e-05,0.8926309302103177,0.5536776477870867,15.7
0.10735525779407709,1.2498879746497549e-05,0.8926322445760644,0.5536776444394166,15.8
0.10735525624174637,1.1310873034950375e-05,0.892633434016306,0.5536776415474656,15.9
0.10735525490073514,1.023572462269251e-05,0.8926345103982146,0.5536776390491971,16.0
0.10735525374227606,9.26272145551632e-06,0.8926354844625406,0.5536776368910185,16.1
0.10735525274151844,8.38216628920585e-06,0.892636365930409,0.5536776350266335,16.2
0.10735525187699321,7.5852815187016365e-06,0.8926371636000162,0.5536776334160458,16.3
0.10735525113015602,6.864122101227221e-06,0.892637885434155,0.5536776320247079,16.4
0.10735525048498576,6.211496705293973e-06,0.8926385386394586,0.5536776308227727,16.5
0.10735524992764306,5.620896299907141e-06,0.8926391297381466,0.5536776297844579,16.6
0.10735524944617113,5.0864295081526345e-06,0.8926396646329636,0.5536776288874884,16.7
0.10735524903024311,4.6027640737272835e-06,0.8926401486659595,0.5536776281126254,16.8
0.10735524867093434,4.165073862513746e-06,0.8926405866717105,0.5536776274432427,16.9
0.1073552483605381,3.768990871080846e-06,0.8926409830254899,0.5536776268649827,17.0
0.10735524809239644,3.410561788708133e-06,0.892641341686871,0.5536776263654418,17.1
0.1073552478607569,3.086208666958079e-06,0.892641666239197,0.5536776259339035,17.2
0.10735524766064919,2.7926933252597763e-06,0.8926419599252949,0.553677625561108,17.3
0.1073552474877832,2.527085092893233e-06,0.8926422256798324,0.5536776252390633,17.4
0.1073552473384495,2.2867316613328637e-06,0.8926424661585624,0.5536776249608585,17.5
0.1073552472094447,2.0692326480886702e-06,0.8926426837648305,0.553677624720526,17.6
0.10735524709800104,1.872415693493501e-06,0.892642880673547,0.5536776245129094,17.7
0.10735524700172891,1.6943148179182632e-06,0.8926430588528846,0.5536776243335569,17.8
0.10735524691856158,1.5331508308458197e-06,0.8926432200839227,0.5536776241786183,17.9
0.10735524684671638,1.3873135927822133e-06,0.8926433659784222,0.5536776240447726,18.0
0.10735524678465151,1.2553459663583455e-06,0.8926434979949167,0.5536776239291474,18.1
0.10735524673103544,1.1359292859947079e-06,0.8926436174532715,0.5536776238292621,18.2
0.10735524668471783,1.027870208863968e-06,0.8926437255478603,0.5536776237429736,18.3
0.10735524664470561,9.300888075547409e-07,0.8926438233594958,0.5536776236684319,18.4
0.1073552466101402,8.416078024209295e-07,0.8926439118662182,0.5536776236040375,18.5
0.1073552465802803,7.615428051360729e-07,0.8926439919530689,0.5536776235484092,18.6
0.1073552465544852,6.890934994285836e-07,0.8926440644209247,0.5536776235003537,18.7
0.10735524653220128,6.235356454636909e-07,0.8926441299945068,0.5536776234588393,18.8
0.10735524651295118,5.642138598133117e-07,0.8926441893296104,0.5536776234229769,18.9
0.10735524649632151,5.105350657091945e-07,0.8926442430196663,0.5536776233919962,19.0
0.1073552464819557,4.6196257642849847e-07,0.8926442916016641,0.5536776233652331,19.1
0.10735524646954533,4.1801073022429414e-07,0.8926443355615256,0.5536776233421129,19.2
0.10735524645882459,3.7824004923969756e-07,0.8926443753389501,0.5536776233221404,19.3
0.10735524644956304,3.4225284253897037e-07,0.8926444113318197,0.5536776233048865,19.4
0.10735524644156237,3.0968923468710496e-07,0.8926444439001718,0.5536776232899814,19.5
0.10735524643465102,2.802235767596084e-07,0.8926444733697946,0.5536776232771057,19.6
0.10735524642868055,2.5356118404928907e-07,0.8926445000354916,0.5536776232659829,19.7
0.10735524642352232,2.294354021492584e-07,0.8926445241640191,0.5536776232563733,19.8
0.10735524641906653,2.0760493395222124e-07,0.89264454599676,0.5536776232480722,19.9
